date,c1,c2,c3,c4,c5,c6,c7,c8,h1
14May2020,1,0,1,1,1,1,0,1,1
15May2020,1,0,1,1,1,1,0,1,1
16May2020,1,0,1,1,1,1,0,1,1
17May2020,1,0,1,1,1,1,0,1,1
18May2020,1,0,1,1,1,1,0,1,1
19May2020,1,0,1,1,1,1,0,1,1
20May2020,1,0,1,1,1,1,0,1,1
21May2020,1,0,1,1,1,1,0,1,1
22May2020,1,0,1,1,1,1,0,1,1
23May2020,1,0,1,1,1,1,0,1,1
24May2020,1,0,1,1,1,1,0,1,1
25May2020,1,0,1,1,1,1,0,1,1
26May2020,1,0,1,1,1,1,0,1,1
27May2020,1,0,1,1,1,1,0,1,1
28May2020,1,0,1,1,1,1,0,1,1
29May2020,1,1,1,1,1,1,0,1,1
30May2020,1,1,1,1,1,1,0,1,1
31May2020,1,1,1,1,1,1,0,1,1
01Jun2020,0,1,1,1,1,1,0,1,1
02Jun2020,0,1,1,1,1,1,0,1,1
03Jun2020,0,1,1,1,1,1,0,1,1
04Jun2020,0,1,1,1,1,1,0,1,1
05Jun2020,0,1,1,1,1,1,0,1,1
06Jun2020,0,1,1,1,1,1,0,1,1
07Jun2020,0,1,1,1,1,1,0,1,1
08Jun2020,0,1,1,1,1,1,0,1,1
09Jun2020,0,1,1,1,1,1,0,1,1
10Jun2020,0,1,1,1,1,1,0,1,1
11Jun2020,0,1,1,1,1,1,0,1,1
12Jun2020,0,1,1,1,1,1,0,1,1
13Jun2020,0,1,1,1,1,1,0,1,1
14Jun2020,0,1,1,1,1,1,0,1,1
15Jun2020,0,1,1,1,1,0,0,1,1
16Jun2020,0,1,1,1,1,0,0,1,1
17Jun2020,0,1,1,1,1,0,0,1,1
18Jun2020,0,1,1,1,1,0,0,1,1
19Jun2020,0,1,1,1,1,0,0,1,1
20Jun2020,0,1,1,1,1,0,0,1,1
21Jun2020,0,1,1,1,1,0,0,1,1
22Jun2020,0,1,1,1,1,0,0,1,1
23Jun2020,0,1,1,1,1,0,0,1,1
24Jun2020,0,1,1,1,1,0,0,1,1
25Jun2020,0,1,1,1,1,0,0,1,1
26Jun2020,0,1,1,1,1,0,0,1,1
27Jun2020,0,1,1,1,1,0,0,1,1
28Jun2020,0,1,1,1,1,0,0,1,1
29Jun2020,0,1,1,1,1,0,0,1,1
30Jun2020,0,1,1,1,1,0,0,1,1
01Jul2020,0,1,1,1,1,0,0,1,1
02Jul2020,0,1,1,1,1,0,0,1,1
03Jul2020,0,1,1,1,1,0,0,1,1
04Jul2020,0,1,1,0,1,0,0,1,1
05Jul2020,0,1,1,0,1,0,0,1,1
06Jul2020,0,1,1,0,1,0,0,1,1
07Jul2020,0,1,1,0,1,0,0,1,1
08Jul2020,0,1,1,0,1,0,0,1,1
09Jul2020,0,1,1,0,1,0,0,1,1
10Jul2020,0,1,1,0,1,0,0,1,1
11Jul2020,0,1,1,0,1,0,0,1,1
12Jul2020,0,1,1,0,1,0,0,1,1
13Jul2020,0,1,1,0,1,0,0,1,1
14Jul2020,0,1,1,0,1,0,0,1,1
15Jul2020,0,1,1,0,1,0,0,1,1
16Jul2020,0,1,1,0,1,0,0,1,1
17Jul2020,0,1,1,0,1,0,0,1,1
18Jul2020,0,1,1,0,1,0,0,1,1
19Jul2020,0,1,1,0,1,0,0,1,1
20Jul2020,0,1,1,0,1,0,0,1,1
21Jul2020,0,1,1,0,1,0,0,1,1
22Jul2020,0,1,1,0,1,0,0,1,1
23Jul2020,0,1,1,0,1,0,0,1,1
24Jul2020,0,1,1,0,1,0,0,1,1
25Jul2020,0,1,1,0,1,0,0,1,1
26Jul2020,0,1,1,0,1,0,0,1,1
27Jul2020,0,1,1,0,1,0,0,1,1
28Jul2020,0,1,1,0,1,0,0,1,1
29Jul2020,0,1,1,0,1,0,0,1,1
30Jul2020,0,1,1,0,1,0,0,1,1
31Jul2020,0,1,1,0,1,0,0,1,1
01Aug2020,0,1,1,0,1,0,0,1,1
02Aug2020,0,1,1,0,1,0,0,1,1
03Aug2020,0,1,1,0,1,0,0,1,1
04Aug2020,0,1,1,0,1,0,0,1,1
05Aug2020,0,1,1,0,1,0,0,1,1
06Aug2020,0,1,1,0,1,0,0,1,1
07Aug2020,0,1,1,0,1,0,0,1,1
08Aug2020,0,1,1,0,1,0,0,1,1
09Aug2020,0,1,1,0,1,0,0,1,1
10Aug2020,0,1,1,0,1,0,0,1,1
11Aug2020,0,1,1,0,1,0,0,1,1
12Aug2020,0,1,1,0,1,0,0,1,1
13Aug2020,0,1,1,0,1,0,0,1,1
14Aug2020,0,1,1,0,1,0,0,1,1
15Aug2020,0,1,1,0,1,0,0,1,1
16Aug2020,0,1,1,0,1,0,0,1,1
17Aug2020,0,1,1,0,1,0,0,1,1
18Aug2020,0,1,1,0,1,0,0,1,1
19Aug2020,0,1,1,0,1,0,0,1,1
20Aug2020,0,1,1,0,1,0,0,1,1
21Aug2020,0,1,1,0,1,0,0,1,1
22Aug2020,0,1,1,0,1,0,0,1,1
23Aug2020,0,1,1,0,1,0,0,1,1
24Aug2020,0,1,1,0,1,0,0,1,1
25Aug2020,0,1,1,0,1,0,0,1,1
26Aug2020,0,1,1,0,1,0,0,1,1
27Aug2020,0,1,1,0,1,0,0,1,1
28Aug2020,0,1,1,0,1,0,0,1,1
29Aug2020,0,1,1,0,1,0,0,1,1
30Aug2020,0,1,1,0,1,0,0,1,1
31Aug2020,0,1,1,0,1,0,0,1,1
01Sep2020,1,1,1,0,1,0,0,1,1
02Sep2020,1,1,1,0,1,0,0,1,1
03Sep2020,1,1,1,0,1,0,0,1,1
04Sep2020,1,1,1,0,1,0,0,1,1
05Sep2020,1,1,1,0,1,0,0,1,1
06Sep2020,1,1,1,0,1,0,0,1,1
07Sep2020,1,1,1,0,1,0,0,1,1
08Sep2020,1,1,1,0,1,0,0,1,1
09Sep2020,1,1,1,0,1,0,0,1,1
10Sep2020,1,1,1,0,1,0,0,1,1
11Sep2020,1,1,1,0,1,0,0,1,1
12Sep2020,1,1,1,0,1,0,0,1,1
13Sep2020,1,1,1,0,1,0,0,1,1
14Sep2020,1,1,1,1,1,0,0,1,1
15Sep2020,1,1,1,1,1,0,0,1,1
16Sep2020,1,1,1,1,1,0,0,1,1
17Sep2020,1,1,1,1,1,0,0,1,1
18Sep2020,1,1,1,1,1,0,0,1,1
19Sep2020,1,1,1,1,1,0,0,1,1
20Sep2020,1,1,1,1,1,0,0,1,1
21Sep2020,1,1,1,1,1,0,0,1,1
22Sep2020,1,1,1,1,1,0,0,1,1
23Sep2020,1,1,1,1,1,0,0,1,1
24Sep2020,1,1,1,1,1,1,0,1,1
25Sep2020,1,1,1,1,1,1,0,1,1
26Sep2020,1,1,1,1,1,1,0,1,1
27Sep2020,1,1,1,1,1,1,0,1,1
28Sep2020,1,1,1,1,1,1,0,1,1
29Sep2020,1,1,1,1,1,1,0,1,1
30Sep2020,1,1,1,1,1,1,0,1,1
01Oct2020,1,1,1,1,1,1,0,1,1
02Oct2020,1,1,1,1,1,1,0,1,1
03Oct2020,1,1,1,1,1,1,0,1,1
04Oct2020,1,1,1,1,1,1,0,1,1
05Oct2020,1,1,1,1,1,1,0,1,1
06Oct2020,1,1,1,1,1,1,0,1,1
07Oct2020,1,1,1,1,1,1,0,1,1
08Oct2020,1,1,1,1,1,1,0,1,1
09Oct2020,1,1,1,1,1,1,0,1,1
10Oct2020,1,1,1,1,1,1,0,1,1
11Oct2020,1,1,1,1,1,1,0,1,1
12Oct2020,1,1,1,1,1,0,0,1,1
13Oct2020,1,1,1,1,1,0,0,1,1
14Oct2020,1,1,1,1,1,0,0,1,1
15Oct2020,1,1,1,1,1,0,0,1,1
16Oct2020,1,1,1,1,1,0,0,1,1
17Oct2020,1,1,1,1,1,0,0,1,1
18Oct2020,1,1,1,1,1,0,0,1,1
19Oct2020,0,1,1,1,1,0,0,1,1
20Oct2020,0,1,1,1,1,0,0,1,1
21Oct2020,0,1,1,1,1,0,0,1,1
22Oct2020,0,1,1,1,1,1,0,1,1
23Oct2020,0,1,1,1,1,0,0,1,1
24Oct2020,0,1,1,1,1,0,0,1,1
25Oct2020,0,1,1,1,1,0,0,1,1
26Oct2020,0,1,1,1,1,0,0,1,1
27Oct2020,0,1,1,1,1,0,0,1,1
28Oct2020,0,1,1,1,1,0,0,1,1
29Oct2020,0,1,1,1,1,0,0,1,1
30Oct2020,0,1,1,1,1,0,0,1,1
31Oct2020,0,1,1,1,1,0,0,1,1
01Nov2020,0,1,1,1,1,0,0,1,1
02Nov2020,0,1,1,1,1,0,0,1,1
03Nov2020,0,1,1,1,1,0,0,1,1
04Nov2020,0,1,1,1,1,0,0,1,1
05Nov2020,0,1,1,1,1,0,0,1,1
06Nov2020,0,0,1,1,1,1,1,1,1
07Nov2020,0,0,1,1,1,1,1,1,1
08Nov2020,0,0,1,1,1,1,1,1,1
09Nov2020,1,0,1,1,1,1,1,1,1
10Nov2020,1,1,1,1,1,1,1,1,1
11Nov2020,1,1,1,1,1,1,1,1,1
12Nov2020,1,1,1,1,1,1,1,1,1
13Nov2020,1,1,1,1,1,1,1,1,1
14Nov2020,1,1,1,1,1,1,1,1,1
15Nov2020,1,1,1,1,1,1,1,1,1
16Nov2020,1,1,1,1,1,1,1,1,1
17Nov2020,1,1,1,1,1,1,1,1,1
18Nov2020,1,1,1,1,1,1,1,1,1
19Nov2020,1,1,1,1,1,1,1,1,1
20Nov2020,1,1,1,1,1,1,0,1,1
21Nov2020,1,1,1,1,1,1,0,1,1
22Nov2020,1,1,1,1,1,1,0,1,1
23Nov2020,1,1,1,1,1,1,0,1,1
24Nov2020,1,1,1,1,1,1,0,1,1
